kind,fast,slow,median_sharpe,mean_sharpe,pct_positive
KAMA,15,70,0.5136495556627495,0.4375614604440201,0.875
KAMA,15,100,0.48563138007797113,0.4035309579125893,0.875
KAMA,15,150,0.5156115613727192,0.3907301963833399,0.8125
KAMA,20,40,0.4949038980672288,0.4224295854008303,0.9375
KAMA,20,50,0.5135021541181685,0.42101478450349517,0.875
KAMA,20,55,0.5112385042479277,0.4070528944236351,0.875
KAMA,20,70,0.437951310868731,0.3955142589503545,0.875
KAMA,20,100,0.49182839179568116,0.4091608965731736,0.875
KAMA,20,150,0.5015861791031662,0.39719648393121354,0.8125
KAMA,22,40,0.4967385198100346,0.4233948302543064,0.9375
KAMA,22,50,0.4970762697612672,0.40679072147530304,0.875
KAMA,22,55,0.44195268277419847,0.3893291562408091,0.875
KAMA,22,70,0.46692336963959313,0.3979669557468781,0.875
KAMA,22,100,0.5145780981522554,0.41090304375052356,0.875
KAMA,22,150,0.49444801422131585,0.40514108550894923,0.875
KAMA,30,40,0.3243741016895296,0.2991182711241517,0.9375
KAMA,30,50,0.38900430962194077,0.33458062492427154,0.9375
KAMA,30,55,0.4586836949199792,0.39082406831583727,0.9375
KAMA,30,70,0.47048379056752765,0.4098548159407168,0.9375
KAMA,30,100,0.5236372489485073,0.39893757296236027,0.8125
KAMA,30,150,0.43699584285376614,0.3593646246828736,0.875
KAMA,40,50,0.38648864938308936,0.32201558382181394,0.8125
KAMA,40,55,0.4589738728800483,0.3672079690764181,0.8125
KAMA,40,70,0.4622136447596399,0.40607049641835363,0.9375
KAMA,40,100,0.46207387777515485,0.3641642450014821,0.875
KAMA,40,150,0.4089321566987286,0.3424079564544187,0.8125
KAMA,50,55,0.3671319586818115,0.3979373661979677,0.9375
KAMA,50,70,0.42643984168759,0.38685036142281726,0.875
KAMA,50,100,0.43099539754551763,0.37021469573596205,0.875
KAMA,50,150,0.3798929296662876,0.32685801597072095,0.8125
