entry_date,exit_date,entry_px,exit_px,return,weeks_held,open,asset
2023-03-24,2026-07-17,1988.300048828125,4106.60009765625,1.065382485946535,173,True,GOLD
2002-02-22,2002-03-15,4.4670000076293945,4.525000095367432,0.012984125282958559,3,False,SILVER
2002-03-29,2002-12-13,4.550000190734863,4.599999904632568,0.010988947648731706,37,False,SILVER
2003-05-09,2003-06-13,4.800000190734863,4.511000156402588,-0.060208338093426295,5,False,SILVER
2003-08-08,2007-10-12,5.015999794006348,13.25,1.6415471579230356,218,False,SILVER
2007-11-30,2008-10-03,14.835000038146973,12.975000381469728,-0.1253791474145204,44,False,SILVER
2009-06-19,2012-01-06,14.664999961853027,28.165000915527344,0.9205592218745902,133,False,SILVER
2012-12-07,2013-04-19,33.5,24.5,-0.26865671641791045,19,False,SILVER
2016-05-20,2017-02-24,17.219999313354492,17.989999771118164,0.04471547552075217,40,False,SILVER
2019-05-17,2020-06-05,14.720000267028809,18.78499984741211,0.27615485778817916,55,False,SILVER
2020-08-14,2021-10-15,28.200000762939453,22.63999938964844,-0.19716316393147004,61,False,SILVER
2023-03-03,2023-12-22,20.75,23.83099937438965,0.14848189756094698,42,False,SILVER
2024-04-12,2026-07-17,27.80500030517578,59.709999084472656,1.147455437119988,118,True,SILVER
2002-06-21,2003-08-15,26.1200008392334,32.13999938964844,0.23047466910386682,60,False,OIL
2003-10-24,2003-11-21,30.670000076293945,32.369998931884766,0.05542872029220547,4,False,OIL
2004-02-13,2006-12-15,32.349998474121094,62.209999084472656,0.9230294287104388,148,False,OIL
2007-07-20,2008-11-28,74.01000213623047,50.970001220703125,-0.3113092859140516,71,False,OIL
2009-09-04,2010-09-24,72.75,73.58999633789062,0.011546341414304218,55,False,OIL
2010-11-12,2011-10-14,87.38999938964844,82.75,-0.053095313217247364,48,False,OIL
2012-03-09,2012-08-17,106.75,93.25,-0.12646370023419207,23,False,OIL
2013-04-26,2014-02-21,87.95999908447266,100.31999969482422,0.1405184258640293,43,False,OIL
2014-06-20,2014-10-17,106.87999725341795,85.19999694824219,-0.20284431944521264,17,False,OIL
2016-07-22,2017-07-28,46.119998931884766,45.619998931884766,-0.010841283859057693,53,False,OIL
2017-12-01,2018-12-21,58.95000076293945,51.25,-0.13061918003876039,55,False,OIL
2019-11-29,2019-12-20,57.91999816894531,59.869998931884766,0.03366714130845705,3,False,OIL
2020-01-03,2020-01-31,61.709999084472656,53.70000076293945,-0.12980065532927,4,False,OIL
2020-12-25,2022-11-18,48.540000915527344,89.0199966430664,0.8339512765561159,99,False,OIL
2023-10-20,2024-03-08,87.72000122070312,80.13999938964844,-0.08641132838089505,20,False,OIL
2024-05-24,2024-09-06,80.01000213623047,73.52999877929688,-0.08098991605949846,15,False,OIL
2026-03-27,2026-07-17,100.51000213623048,73.69000244140625,-0.26683911177787667,16,True,OIL
2004-12-24,2005-07-22,1.33109712600708,1.2038040161132812,-0.09563021916788494,30,False,EURUSD
2006-05-26,2008-11-07,1.276796817779541,1.2774981260299685,0.0005492716152339927,126,False,EURUSD
2009-08-14,2010-04-16,1.4137673377990725,1.3636983633041382,-0.035415285921713835,35,False,EURUSD
2011-01-07,2011-12-16,1.335594892501831,1.337095022201538,0.0011231921506504872,49,False,EURUSD
2013-01-11,2014-09-12,1.3068478107452393,1.295202612876892,-0.00891090590089938,87,False,EURUSD
2016-05-06,2016-12-02,1.1461974382400513,1.0611205101013184,-0.07422536929533341,30,False,EURUSD
2017-07-21,2018-08-10,1.1475127935409546,1.156136155128479,0.007514828275608787,55,False,EURUSD
2020-07-31,2021-08-20,1.1652567386627195,1.179634690284729,0.012338870177665662,55,False,EURUSD
2023-03-17,2023-12-22,1.0683646202087402,1.0895264148712158,0.01980765205266799,40,False,EURUSD
2024-03-22,2024-06-14,1.0882576704025269,1.077888250350952,-0.009528460339488731,12,False,EURUSD
2024-08-23,2025-01-03,1.1024993658065796,1.0429377555847168,-0.054024167332094586,19,False,EURUSD
2025-06-06,2026-07-10,1.1353315114974976,1.1435890197753906,0.007273213325156069,57,False,EURUSD
2004-12-24,2005-07-29,1.9418984651565552,1.736895203590393,-0.10556847602721331,31,False,GBPUSD
2006-06-09,2008-04-04,1.883487582206726,1.9933819770812988,0.058346227452064525,95,False,GBPUSD
2009-09-04,2010-04-09,1.6287705898284912,1.5269973278045654,-0.06248471249388321,31,False,GBPUSD
2010-11-26,2011-11-11,1.600256085395813,1.603617787361145,0.0021007274998117165,50,False,GBPUSD
2012-09-21,2012-10-19,1.6225864887237549,1.605909824371338,-0.010277827695665098,4,False,GBPUSD
2012-11-02,2013-03-29,1.608751654624939,1.5243902206420898,-0.052439065868446266,21,False,GBPUSD
2013-11-15,2014-11-21,1.6004096269607544,1.566784143447876,-0.02101054814118719,53,False,GBPUSD
2015-10-02,2016-01-01,1.5204963684082031,1.492537260055542,-0.018388145433014924,13,False,GBPUSD
2017-07-28,2018-08-24,1.3005423545837402,1.27459979057312,-0.019947496457294323,56,False,GBPUSD
2020-01-31,2020-06-12,1.306165099143982,1.2713911533355713,-0.026622932913458186,19,False,GBPUSD
2020-10-23,2021-11-26,1.292774677276611,1.343360185623169,0.03912940842337842,57,False,GBPUSD
2023-04-14,2024-02-09,1.243456244468689,1.2616863250732422,0.014660813909332715,43,False,GBPUSD
